店舗名,所在地区,住所（地名）,業種・カテゴリ,取扱品目
（株）愛須商店,旧田辺地区,上秋津,小売（食品）,みかん
あいづ屋酒店,旧田辺地区,秋津町,小売（食品）,酒
赤れんが,旧田辺地区,朝日ヶ丘,小売（食品）,パン販売
秋宇酒店,旧田辺地区,高雄,小売（食品）,酒類
東鮮魚店,旧田辺地区,東陽,小売（食品）,鮮魚・貝
ants stock yard,旧田辺地区,稲成町,小売（食品）,お菓子
菓子工房あんどおる,旧田辺地区,下三栖,小売（食品）,洋菓子
稲垣商店,旧田辺地区,神子浜,小売（食品）,小売り
（有）上村商店,旧田辺地区,新庄町,小売（食品）,乳製品販売
Aコープ クックガーデン,旧田辺地区,下万呂,小売（食品）,食料品
Aコープ デリシスいなり,旧田辺地区,稲成町,小売（食品）,食料品
エバグリーン 田辺元町店,旧田辺地区,上の山,小売（食品）,食料品
オークワ 田辺東山店,旧田辺地区,東山,小売（食品）,食品
オークワ パビリオンシティ田辺店,旧田辺地区,稲成町,小売（食品）,食料品
太田うなぎ店,旧田辺地区,上屋敷,小売（食品）,うなぎ蒲焼
太田青果,旧田辺地区,湊,小売（食品）,青果
（株）大西食品,旧田辺地区,上の山,小売（食品）,精肉
プラムガーデン オカハタ,旧田辺地区,湊,小売（食品）,梅干の販売
岡本酒店,旧田辺地区,湊,小売（食品）,酒
お菓子の店 オランジュ,旧田辺地区,南新万,小売（食品）,洋菓子
カネソ増田商店,旧田辺地区,磯間,小売（食品）,干物
パン工房カワ田辺店,旧田辺地区,明洋,小売（食品）,パン
パン工房カワ新庄店,旧田辺地区,新庄町,小売（食品）,パン
ファーマーズマーケット 紀菜柑,旧田辺地区,秋津町,小売（食品）,地場産食品
秋津野直売所 きてら,旧田辺地区,上秋津,小売（食品）,食料品
パンの店 木村家,旧田辺地区,下屋敷町,小売（食品）,パン
業務スーパー 田辺店,旧田辺地区,下万呂,小売（食品）,食料品
グルメシティ 新庄店,旧田辺地区,新庄町,小売（食品）,食料品
グルメシティ 東陽店,旧田辺地区,東陽,小売（食品）,食料品
グルメシティ 万呂店,旧田辺地区,中万呂,小売（食品）,食料品
Cake's Café Luce,旧田辺地区,上万呂,小売（食品）,ケーキ
江久庵,旧田辺地区,城山台,小売（食品）,カステラ
幸梅漬本舗,旧田辺地区,芳養町,小売（食品）,梅干
米儀蒲鉾店,旧田辺地区,上屋敷,小売（食品）,蒲鉾製造販売
（株）小山安吉醸造元,旧田辺地区,中屋敷町,小売（食品）,みそ
コンビニよしだ,旧田辺地区,中芳養,小売（食品）,酒類
惣菜・弁当 さくら,旧田辺地区,天神崎,小売（食品）,お弁当
スイーツラボ サリュー,旧田辺地区,稲成町,小売（食品）,ケーキ
澤田製菓,旧田辺地区,上芳養,小売（食品）,和菓子
JAわかやま 秋津川店,旧田辺地区,秋津川,小売（食品）,物品販売
JAわかやま 上秋津支店,旧田辺地区,上秋津,小売（食品）,物品販売
JAわかやま 上芳養店,旧田辺地区,上芳養,小売（食品）,物品販売
JAわかやま 中央営農経済センター,旧田辺地区,秋津町,小売（食品）,物品販売
JAわかやま 長野店,旧田辺地区,長野,小売（食品）,物品販売
JAわかやま 芳養谷支店,旧田辺地区,中芳養,小売（食品）,物品販売
JAわかやま 三栖支店,旧田辺地区,中三栖,小売（食品）,物品販売
七福堂,旧田辺地区,新屋敷町,小売（食品）,菓子
スグラ デンカン,旧田辺地区,高雄,小売（食品）,食品
スズヤ菓子,旧田辺地区,本町,小売（食品）,和菓子
鈴屋菓子店,旧田辺地区,湊,小売（食品）,デラックスケーキ
セブン,旧田辺地区,文里,小売（食品）,駄菓子
セブン‐イレブン ハートインJR紀伊田辺駅前,旧田辺地区,湊,小売（食品）,コンビニエンスストア
（有）大金,旧田辺地区,上芳養,小売（食品）,鮮魚他生鮮商品
大金 しおさい店,旧田辺地区,芳養松原,小売（食品）,弁当・総菜
大熊酒店,旧田辺地区,江川,小売（食品）,酒類・食品
（株）たがみ,旧田辺地区,湊,小売（食品）,米
竹内米店,旧田辺地区,下万呂,小売（食品）,精米
たな梅 本店,旧田辺地区,福路町,小売（食品）,なんば焼
田辺駅前ひろば,旧田辺地区,湊,小売（食品）,みかん
田辺自然食品センター,旧田辺地区,下屋敷町,小売（食品）,調味料
田辺ショッピングセンター,旧田辺地区,宝来町,小売（食品）,食料品
辻の餅,旧田辺地区,北新町,小売（食品）,餅
dish,旧田辺地区,上秋津,小売（食品）,半身揚げ
焼きたてパン D'oh！,旧田辺地区,湊,小売（食品）,パン
ともゑ堂,旧田辺地区,南新町,小売（食品）,お菓子
紀州梅の里なかた,旧田辺地区,下三栖,小売（食品）,梅干
紀州梅の里なかた あおい店,旧田辺地区,湊,小売（食品）,梅干
中本商店,旧田辺地区,上芳養,小売（食品）,食料品
なか家,旧田辺地区,南新町,小売（食品）,かしわ販売
菓匠 二宮,旧田辺地区,下屋敷町,小売（食品）,和菓子
野村商店,旧田辺地区,上秋津,小売（食品）,日用品
はちの巣,旧田辺地区,芳養松原,小売（食品）,駄菓子
はつやま鮮魚店,旧田辺地区,上秋津,小売（食品）,弁当
浜口精肉店,旧田辺地区,湊,小売（食品）,牛肉・豚肉
お菓子体験工房 バレンシア畑,旧田辺地区,上秋津,小売（食品）,食料品
弁当ひまわり,旧田辺地区,文里,小売（食品）,弁当
平野青果,旧田辺地区,下屋敷町,小売（食品）,野菜・果物
